Valor,periodo_do_dia,dia_da_semana,emissor_cartao,predicted_CBK,predicted_CBK_proba
112.0,madrugada,Segunda-feira,41555,0,0.015385510668063592
112.0,madrugada,Segunda-feira,06669,0,0.0018941554735407528
18.34,madrugada,Segunda-feira,41187,0,0.0066432029294735545
55.0,madrugada,Segunda-feira,54927,1,0.3253157231634423
50.0,madrugada,Segunda-feira,98407,1,0.32270391822252553
50.0,madrugada,Segunda-feira,98407,1,0.32270391822252553
50.0,madrugada,Segunda-feira,98407,1,0.32270391822252553
50.0,madrugada,Segunda-feira,98407,1,0.32270391822252553
201.6,madrugada,Segunda-feira,98407,1,0.8759241217539686
201.6,madrugada,Segunda-feira,98407,1,0.8759241217539686
201.6,madrugada,Segunda-feira,98407,1,0.8759241217539686
53.6,madrugada,Segunda-feira,40105,0,0.0013345892571458176
112.0,madrugada,Segunda-feira,15894,1,0.3174572430002394
88.0,madrugada,Segunda-feira,53211,1,0.0649589518854231
280.0,madrugada,Segunda-feira,90172,0,0.0006571878212382204
134.4,madrugada,Segunda-feira,54927,1,0.35108794579626945
1100.0,dia,Segunda-feira,48293,0,0.0024246240762964538
88.0,dia,Segunda-feira,25631,0,0.004000927791374564
115.0,dia,Segunda-feira,00970,0,0.011066377401782986
15.0,dia,Segunda-feira,98401,0,0.004610326807909537
89.6,dia,Segunda-feira,90172,0,0.0008573449326887298
89.6,dia,Segunda-feira,06669,0,0.0006138286048959264
24.0,dia,Segunda-feira,48724,0,0.0006212563754951657
89.6,dia,Segunda-feira,49167,0,0.0014137480654744519
5.0,dia,Segunda-feira,15274,0,0.0002920291968331032
35.0,dia,Segunda-feira,15274,0,0.00660809618242905
182.69,dia,Segunda-feira,90172,0,0.00023142354712689012
15.0,dia,Segunda-feira,46479,0,0.003727017054645944
99.0,dia,Segunda-feira,09603,0,0.0029336313774220944
5.0,dia,Segunda-feira,44731,0,0.0003692133731351059
89.6,dia,Segunda-feira,24305,0,0.0028511751659475483
11.85,dia,Segunda-feira,55181,0,0.00022282473713794687
89.6,dia,Segunda-feira,90172,0,0.0008573449326887298
216.0,dia,Segunda-feira,39028,0,0.007673297001865034
77.0,dia,Segunda-feira,91674,0,0.00659895724980943
35.0,dia,Segunda-feira,40694,0,0.01452187353203444
57.0,dia,Segunda-feira,91674,0,0.014017036200582486
176.0,dia,Segunda-feira,76608,0,0.004284058156713654
20.0,dia,Segunda-feira,98453,0,0.0021036194110747035
18.34,dia,Segunda-feira,45053,0,0.00499152686257329
30.0,dia,Segunda-feira,91674,0,0.01558869932203282
11.0,dia,Segunda-feira,98423,0,0.0002432736814320961
86.0,dia,Segunda-feira,98423,0,0.003875084234063823
100.8,dia,Segunda-feira,90172,0,0.0005354836152145112
67.2,dia,Segunda-feira,03225,0,0.0022774749853167204
89.6,dia,Segunda-feira,03225,0,0.0014677935160110139
66.99,dia,Segunda-feira,48591,0,0.007783975158918353
20.0,dia,Segunda-feira,59023,0,0.0012859701007567484
46.43,dia,Segunda-feira,30994,0,0.0027212220395582956
112.0,dia,Segunda-feira,25320,0,0.015028823588435719
24.0,dia,Segunda-feira,25663,0,0.00023916020473791085
44.8,dia,Segunda-feira,52407,0,0.01372735155561689
168.0,tarde,Segunda-feira,98453,0,0.025348608345935466
40.0,tarde,Segunda-feira,39614,0,0.0013632498088134036
341.0,tarde,Segunda-feira,48984,1,0.12472363531001132
46.0,tarde,Segunda-feira,98442,1,0.6043120118833903
67.2,tarde,Segunda-feira,44054,0,0.0023765226156568574
280.8,tarde,Segunda-feira,40105,0,0.0005843510032838499
24.0,tarde,Segunda-feira,14945,0,0.0005416610213186488
67.2,tarde,Segunda-feira,31681,0,0.00912262598133327
20.0,tarde,Segunda-feira,98423,0,0.0016888297167796584
43.0,tarde,Segunda-feira,52289,1,0.09569777190624117
77.0,tarde,Segunda-feira,40105,0,0.0053940869976481344
43.0,tarde,Segunda-feira,98442,1,0.2936086959041533
77.0,tarde,Segunda-feira,19620,1,0.03590986297939586
20.0,tarde,Segunda-feira,12177,0,0.003925301873949614
18.34,tarde,Segunda-feira,22499,0,0.00828959048893419
43.0,tarde,Segunda-feira,76333,0,0.007718901559844363
95.2,tarde,Segunda-feira,98401,1,0.049028717998831114
95.2,tarde,Segunda-feira,06669,0,0.0011002014561725306
89.6,tarde,Segunda-feira,53211,1,0.09113093832183969
20.0,tarde,Segunda-feira,39083,0,0.0021409203237193752
5.0,tarde,Segunda-feira,59314,0,0.000832328432940447
70.03,tarde,Segunda-feira,23284,0,0.002163289531757538
43.0,tarde,Segunda-feira,47408,0,0.007718901559844363
69.0,tarde,Segunda-feira,15590,0,0.009279380628156359
